Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride
70,15,Urban,Gold,71,3.5,Morning,Economy,79,273.50460409
93,10,Suburban,Silver,72,4.71,Morning,Economy,69,320.10057159
87,28,Suburban,Gold,9,4.33,Afternoon,Premium,118,340.31467721
78,34,Urban,Regular,6,4.3,Evening,Premium,52,168.44654427
57,1,Urban,Gold,42,3.5,Afternoon,Premium,81,273.40639318
30,11,Suburban,Gold,100,3.63,Morning,Premium,62,269.27130238
49,16,Urban,Silver,100,4.5,Afternoon,Economy,86,398.94629148
58,24,Urban,Regular,0,4.92,Afternoon,Premium,138,558.21473716
44,41,Suburban,Gold,57,4.37,Night,Economy,79,423.90810744
74,14,Suburban,Silver,51,4.93,Afternoon,Economy,96,292.54127068
62,36,Rural,Regular,22,3.5,Evening,Premium,126,528.88259398
39,66,Rural,Regular,45,3.55,Evening,Premium,180,696.67479803
93,28,Urban,Silver,30,3.5,Evening,Economy,64,301.23644507
71,34,Urban,Silver,44,4.73,Morning,Economy,131,461.64767704
63,23,Suburban,Gold,45,4.5,Morning,Premium,71,340.61495179
86,13,Suburban,Gold,18,4.27,Evening,Premium,130,560.60965167
42,17,Urban,Regular,43,4.69,Morning,Premium,55,98.8091502
46,42,Urban,Gold,42,4.15,Evening,Premium,94,432.60508203
52,6,Urban,Silver,70,4.83,Afternoon,Economy,61,261.71208245
73,14,Urban,Silver,55,4.97,Morning,Premium,180,589.27406369
68,15,Urban,Silver,73,3.51,Afternoon,Premium,86,333.81375378
100,36,Urban,Regular,64,4.58,Night,Premium,86,370.00893421
37,21,Suburban,Regular,91,4.57,Night,Economy,18,86.04610669
62,20,Urban,Silver,41,3.77,Evening,Premium,115,353.6553399
54,21,Suburban,Regular,77,3.62,Morning,Premium,56,331.22637113
71,31,Rural,Regular,52,4.22,Night,Premium,69,417.65890731
81,52,Suburban,Regular,95,4.4,Evening,Economy,1,25.993449448411635
66,54,Suburban,Regular,61,4.56,Evening,Economy,90,207.16365204
69,5,Rural,Regular,22,4.86,Morning,Economy,34,216.42075641
52,29,Urban,Gold,48,4.3,Afternoon,Economy,82,305.82372839
99,42,Suburban,Gold,44,4.36,Afternoon,Economy,69,151.89946793
49,63,Urban,Gold,26,5.0,Evening,Economy,76,312.61163651
1,6,Urban,Gold,36,4.41,Night,Economy,56,236.08585034
46,31,Urban,Gold,0,4.02,Night,Economy,80,330.82832111
100,45,Suburban,Silver,33,4.58,Night,Premium,13,180.28117096
32,16,Urban,Regular,70,4.06,Morning,Premium,31,266.21276445
72,17,Rural,Regular,66,4.07,Afternoon,Economy,36,138.25084078
41,18,Rural,Silver,35,3.81,Evening,Economy,180,623.56064198
71,34,Rural,Regular,61,4.4,Evening,Economy,164,459.4435683
87,22,Urban,Silver,87,4.88,Evening,Economy,150,540.88790086
50,36,Suburban,Regular,28,4.48,Afternoon,Premium,149,566.53742522
91,16,Suburban,Gold,7,4.58,Afternoon,Premium,69,295.80157119
86,50,Rural,Regular,51,4.6,Morning,Premium,53,141.69798309
68,36,Rural,Gold,89,4.92,Evening,Economy,172,661.41487261
59,1,Suburban,Gold,87,3.95,Afternoon,Premium,155,648.32137635
55,39,Suburban,Gold,44,4.01,Afternoon,Premium,134,466.44235612
41,1,Rural,Silver,72,4.43,Morning,Economy,85,323.83558098
34,16,Urban,Gold,49,4.28,Morning,Economy,167,537.0342059
74,26,Urban,Silver,100,3.93,Night,Premium,102,266.35358799
69,17,Urban,Gold,66,4.37,Afternoon,Premium,55,150.68243373
70,40,Urban,Silver,5,3.5,Afternoon,Premium,122,451.80504096
84,66,Urban,Silver,39,4.71,Afternoon,Premium,180,689.41692169
60,1,Urban,Silver,52,3.92,Night,Premium,63,263.09159059
92,16,Suburban,Gold,22,3.5,Morning,Premium,96,367.32205578
22,31,Suburban,Gold,57,4.72,Night,Economy,70,295.03328985
100,24,Suburban,Regular,35,4.32,Night,Premium,62,233.86727297
60,1,Rural,Gold,69,4.49,Afternoon,Economy,141,412.81929252
44,51,Rural,Silver,20,5.0,Night,Economy,54,183.99511756
58,30,Urban,Gold,42,4.7,Morning,Premium,78,238.29101354
98,42,Suburban,Regular,86,4.83,Morning,Premium,94,307.15124346
45,38,Urban,Gold,53,4.44,Morning,Economy,180,617.83873978
63,22,Rural,Gold,57,5.0,Night,Economy,14,89.53351084
36,3,Suburban,Regular,22,4.48,Night,Economy,99,260.5646121
70,29,Suburban,Silver,41,3.67,Morning,Premium,17,25.993449448411635
90,1,Urban,Regular,34,3.59,Night,Economy,116,400.00710782
67,47,Suburban,Gold,46,4.65,Night,Economy,83,394.87749407
52,50,Urban,Regular,100,3.88,Morning,Premium,117,448.28119621
51,35,Urban,Gold,71,4.35,Night,Premium,118,467.7132293
63,24,Urban,Gold,59,4.54,Afternoon,Economy,105,239.03662352
73,47,Urban,Silver,38,4.12,Night,Economy,89,392.9939262
81,51,Suburban,Regular,34,3.78,Night,Premium,115,460.56794204
36,39,Rural,Regular,54,3.78,Evening,Economy,115,430.02200968
49,52,Urban,Silver,67,4.13,Morning,Premium,180,657.50564811
95,53,Suburban,Gold,53,4.48,Night,Premium,142,596.06437645
72,56,Rural,Silver,31,3.73,Night,Premium,165,621.72901526
64,52,Rural,Gold,54,5.0,Afternoon,Premium,25,194.06514861
79,1,Rural,Regular,71,4.51,Morning,Economy,129,325.76630426
5,36,Rural,Gold,86,4.44,Morning,Premium,81,289.04899214
76,30,Rural,Regular,82,4.24,Afternoon,Premium,152,595.98833328
100,43,Rural,Regular,38,4.32,Evening,Premium,150,560.57252167
62,1,Suburban,Silver,0,4.44,Evening,Premium,121,417.57422557
67,5,Urban,Gold,15,4.34,Morning,Premium,27,148.10158487
53,62,Rural,Regular,14,4.87,Evening,Premium,117,547.32430468
38,40,Urban,Regular,55,4.84,Afternoon,Economy,132,433.4075652
49,33,Suburban,Gold,20,4.37,Afternoon,Economy,57,288.45062567
82,17,Urban,Regular,29,3.97,Afternoon,Premium,171,639.77767929
74,8,Urban,Silver,39,3.89,Night,Premium,131,509.75087002
40,13,Suburban,Silver,100,4.28,Night,Premium,78,315.8971277
45,14,Rural,Regular,96,4.18,Evening,Premium,107,270.39565791
46,40,Urban,Silver,39,4.54,Evening,Premium,180,715.01706645
64,33,Urban,Silver,100,5.0,Morning,Economy,171,595.0918493
56,10,Rural,Silver,54,4.42,Morning,Premium,152,559.56841038
59,45,Suburban,Regular,28,3.98,Night,Premium,140,520.18141484
35,1,Rural,Regular,63,3.73,Night,Premium,119,464.03661601
99,1,Urban,Regular,22,4.22,Afternoon,Economy,155,578.29111501
67,42,Rural,Regular,0,4.39,Morning,Economy,167,590.48327863
48,60,Rural,Regular,0,3.85,Morning,Economy,107,418.06803954
42,1,Urban,Regular,83,4.28,Morning,Premium,39,108.94371322
51,18,Suburban,Gold,46,4.83,Evening,Economy,77,122.88363131
88,61,Urban,Regular,18,4.08,Night,Economy,12,25.993449448411635
96,1,Suburban,Gold,61,4.2,Night,Economy,43,235.32139302
45,45,Suburban,Regular,6,4.62,Night,Premium,60,281.12689142
50,21,Urban,Regular,18,4.96,Evening,Premium,33,176.29234246
21,46,Suburban,Gold,63,4.58,Afternoon,Economy,103,426.98548087
22,50,Suburban,Silver,100,3.65,Afternoon,Economy,169,547.83638553
64,34,Rural,Gold,11,4.91,Evening,Economy,180,637.16016473
53,11,Rural,Regular,17,3.99,Afternoon,Premium,73,436.52532715
52,8,Urban,Silver,44,4.06,Afternoon,Premium,35,106.544744
49,18,Urban,Regular,69,3.7,Night,Premium,128,604.127503
68,1,Suburban,Gold,59,4.05,Afternoon,Economy,175,490.26770132
63,41,Urban,Silver,36,4.41,Morning,Premium,126,566.42228511
85,1,Urban,Silver,45,3.77,Evening,Premium,147,668.99442303
100,56,Rural,Gold,56,4.2,Night,Economy,128,487.03087992
35,12,Urban,Silver,100,3.59,Morning,Economy,146,649.07528089
31,22,Suburban,Silver,76,4.52,Night,Economy,90,355.25007807
99,16,Suburban,Silver,26,4.08,Evening,Premium,91,241.536101
59,59,Suburban,Regular,5,4.37,Afternoon,Economy,30,131.37763766
80,37,Urban,Regular,69,4.02,Night,Premium,1,25.993449448411635
34,47,Rural,Regular,13,4.35,Afternoon,Economy,117,504.08952677
35,17,Suburban,Gold,62,3.92,Evening,Economy,143,514.62898381
81,41,Rural,Silver,72,3.77,Night,Economy,71,199.39747562
31,42,Suburban,Silver,80,4.31,Afternoon,Premium,117,455.26259126
94,28,Rural,Silver,18,4.82,Night,Economy,171,469.55577746
80,32,Rural,Regular,74,3.51,Evening,Premium,83,441.83512396
44,33,Urban,Silver,82,3.78,Afternoon,Premium,55,230.41952728
97,32,Rural,Regular,43,4.69,Evening,Economy,149,498.38668238
73,42,Urban,Gold,24,4.28,Night,Premium,180,678.84051527
56,11,Suburban,Silver,49,4.33,Afternoon,Premium,122,486.79048882
63,1,Rural,Gold,53,5.0,Afternoon,Premium,105,466.35245888
15,14,Urban,Gold,78,4.09,Night,Economy,37,97.98448425
29,14,Suburban,Regular,52,3.83,Afternoon,Economy,31,155.99724106
79,32,Rural,Gold,59,3.89,Afternoon,Economy,158,532.08975616
66,29,Urban,Gold,70,4.73,Night,Economy,86,321.69896282
95,16,Suburban,Silver,45,3.5,Afternoon,Economy,83,370.66434446
70,1,Suburban,Regular,53,3.81,Morning,Premium,65,269.88804005
32,15,Rural,Silver,24,4.05,Afternoon,Premium,119,516.09073313
36,34,Suburban,Regular,50,3.58,Afternoon,Premium,141,623.43432876
41,50,Rural,Gold,44,3.85,Evening,Economy,67,221.48237342
47,13,Rural,Regular,46,4.75,Morning,Premium,100,328.95397549
64,25,Urban,Regular,17,3.81,Morning,Premium,118,394.68410287
89,21,Urban,Regular,49,3.5,Night,Economy,77,190.37097008
75,6,Rural,Gold,30,4.24,Morning,Economy,72,211.33636105
90,43,Rural,Silver,47,3.5,Night,Economy,70,294.36259391
70,34,Suburban,Silver,53,4.8,Night,Economy,66,308.38772561
50,76,Rural,Silver,100,4.02,Afternoon,Premium,98,450.12278694
28,5,Rural,Gold,33,4.0,Evening,Economy,115,386.70796759
75,24,Suburban,Regular,28,4.18,Night,Economy,116,340.99988367
58,28,Suburban,Silver,44,4.58,Afternoon,Premium,62,309.04707647
79,11,Urban,Regular,22,4.01,Night,Premium,180,686.39622288
46,49,Suburban,Regular,0,3.5,Night,Premium,158,634.56651669
99,20,Suburban,Silver,40,3.86,Afternoon,Economy,96,354.06100163
99,14,Urban,Gold,46,4.53,Night,Premium,117,404.7142761
40,44,Urban,Gold,54,3.72,Evening,Economy,123,349.27471486
68,8,Urban,Silver,42,4.03,Night,Premium,128,402.65575188
23,32,Rural,Gold,28,4.25,Morning,Economy,66,183.19083359
41,10,Rural,Silver,59,3.89,Night,Economy,146,515.11825037
40,20,Rural,Silver,37,4.41,Night,Economy,180,696.84853225
46,27,Suburban,Regular,34,3.93,Afternoon,Premium,132,524.8831167
54,38,Urban,Silver,68,4.96,Afternoon,Economy,105,414.35405487
42,27,Rural,Regular,46,4.69,Night,Economy,130,515.49837045
64,16,Suburban,Silver,88,4.22,Night,Economy,82,303.54280761
24,34,Suburban,Silver,19,4.91,Afternoon,Premium,172,719.8069176
84,10,Suburban,Gold,100,4.36,Evening,Premium,82,368.86552635
35,47,Urban,Silver,64,4.39,Evening,Economy,53,215.64042582
57,81,Urban,Regular,19,4.5,Night,Economy,99,391.07573579
50,28,Urban,Silver,43,4.36,Night,Premium,50,194.35938395
85,37,Rural,Gold,33,4.56,Afternoon,Economy,108,425.99520791
53,4,Urban,Silver,66,4.37,Morning,Economy,80,254.97993877
95,26,Suburban,Silver,33,4.4,Afternoon,Premium,119,362.75650711
69,40,Rural,Gold,25,5.0,Night,Premium,1,25.993449448411635
38,35,Rural,Silver,64,4.92,Morning,Economy,78,345.20339954
55,14,Urban,Gold,44,3.75,Morning,Premium,123,501.38632521
59,17,Rural,Regular,0,4.24,Afternoon,Economy,122,401.97341925
78,22,Rural,Gold,84,4.19,Morning,Economy,148,547.24806558
64,22,Suburban,Silver,45,3.5,Night,Premium,44,150.20016761
55,12,Urban,Gold,45,4.99,Afternoon,Economy,113,327.59813884
42,49,Suburban,Silver,79,3.84,Morning,Economy,23,132.8215347
72,44,Urban,Silver,66,4.64,Morning,Economy,74,231.21700799
52,3,Urban,Gold,100,3.59,Night,Premium,52,214.65164161
43,66,Suburban,Silver,31,4.14,Afternoon,Economy,74,234.01048339
36,43,Urban,Silver,73,4.11,Night,Economy,109,337.09806273
85,17,Urban,Regular,31,4.61,Evening,Premium,110,554.29786465
25,23,Rural,Silver,62,4.31,Afternoon,Premium,154,663.97569723
72,24,Rural,Silver,82,4.62,Evening,Economy,84,421.52293507
61,5,Urban,Regular,35,4.31,Evening,Economy,44,129.09917205
47,1,Urban,Regular,100,4.0,Morning,Premium,98,304.22880556
43,15,Urban,Regular,68,3.89,Evening,Premium,180,622.51160429
61,45,Rural,Gold,40,4.6,Night,Economy,2,25.993449448411635
48,1,Urban,Silver,0,3.82,Night,Premium,145,505.95686389
47,24,Suburban,Regular,52,4.19,Afternoon,Premium,180,684.60238059
84,20,Suburban,Silver,94,3.74,Morning,Premium,58,324.17307171
57,17,Urban,Silver,61,4.28,Evening,Premium,77,420.13657688
61,20,Urban,Silver,70,4.48,Afternoon,Premium,136,494.87427501
41,40,Urban,Regular,46,4.16,Night,Premium,62,146.78063347
84,10,Urban,Silver,48,3.5,Night,Economy,180,548.32841361
89,19,Urban,Gold,49,4.6,Afternoon,Premium,26,137.37995402
66,36,Suburban,Silver,38,4.06,Morning,Premium,116,253.15772419
94,10,Urban,Silver,48,5.0,Morning,Premium,127,436.32429412
47,41,Rural,Silver,47,4.45,Evening,Premium,80,252.9151366
82,51,Rural,Regular,66,4.66,Night,Economy,134,425.17908209
51,16,Suburban,Gold,47,3.5,Morning,Premium,133,552.744839
49,49,Urban,Gold,80,3.99,Night,Premium,91,477.67954329
94,12,Urban,Gold,100,4.52,Morning,Economy,48,176.57366455
52,1,Suburban,Silver,38,4.24,Morning,Premium,77,169.15655571
38,59,Urban,Silver,100,3.57,Afternoon,Economy,150,444.11278704
17,28,Rural,Gold,69,3.75,Afternoon,Premium,140,620.65102615
61,31,Rural,Gold,35,4.28,Night,Economy,104,430.77629986
36,16,Rural,Silver,92,4.21,Evening,Premium,108,455.04091133
100,9,Urban,Silver,69,3.5,Morning,Economy,109,334.12314655
100,27,Urban,Regular,72,4.95,Evening,Economy,115,361.94445507
1,67,Rural,Silver,0,4.25,Night,Economy,94,356.08627544
99,19,Rural,Regular,69,4.65,Night,Economy,61,355.77003989
42,47,Suburban,Silver,48,4.81,Afternoon,Economy,180,619.38256769
90,67,Suburban,Gold,62,3.95,Morning,Premium,148,543.42414225
85,24,Suburban,Regular,68,4.32,Afternoon,Premium,121,477.15801965
92,29,Suburban,Gold,63,4.05,Afternoon,Premium,88,260.54984802
100,21,Suburban,Silver,64,4.61,Afternoon,Economy,89,347.97422859
33,16,Urban,Regular,74,4.63,Afternoon,Economy,98,349.02315593
36,17,Rural,Gold,42,3.95,Night,Premium,180,593.62996655
80,1,Rural,Silver,100,3.94,Morning,Premium,57,157.14907974
63,18,Rural,Regular,68,3.83,Evening,Premium,108,392.15732311
76,13,Urban,Silver,29,4.52,Afternoon,Economy,69,233.6723319
52,28,Rural,Regular,60,4.09,Evening,Premium,43,220.65335309
81,74,Rural,Gold,20,3.73,Evening,Economy,173,594.8896153
30,36,Urban,Gold,74,4.44,Morning,Economy,86,228.07532493
100,32,Suburban,Gold,20,3.75,Evening,Economy,45,192.13449907
100,19,Rural,Silver,45,3.86,Morning,Economy,107,428.11432792
18,39,Rural,Gold,41,4.15,Night,Premium,104,413.78963671
97,27,Rural,Regular,74,4.34,Night,Premium,47,198.05501623
19,11,Rural,Silver,28,4.35,Afternoon,Economy,167,517.73126199
74,36,Urban,Gold,63,4.44,Night,Economy,172,624.24703403
38,9,Rural,Silver,11,3.82,Evening,Economy,94,204.64482947
71,20,Urban,Silver,81,4.64,Evening,Economy,154,473.41852143
31,24,Rural,Gold,49,4.2,Morning,Premium,66,294.3170064
70,22,Urban,Silver,39,4.56,Morning,Economy,66,267.91693262
56,58,Suburban,Silver,56,4.05,Evening,Economy,180,610.40024985
54,46,Suburban,Silver,59,3.51,Morning,Premium,116,426.88015588
69,5,Rural,Gold,36,4.89,Night,Premium,122,450.70000686
20,9,Urban,Silver,97,3.7,Evening,Premium,47,64.69496713
75,32,Rural,Regular,81,3.91,Morning,Economy,33,108.20448778
53,55,Suburban,Silver,3,4.62,Night,Economy,160,585.14065124
24,21,Rural,Silver,52,4.62,Night,Economy,1,25.993449448411635
76,2,Suburban,Silver,43,4.49,Evening,Premium,137,381.03090854
46,32,Suburban,Gold,0,3.5,Night,Premium,180,608.48562341
59,21,Rural,Gold,55,3.96,Evening,Premium,99,370.29954295
68,66,Rural,Gold,27,4.11,Evening,Economy,133,495.87599716
59,11,Rural,Gold,46,3.91,Night,Premium,105,450.07844825
60,8,Rural,Silver,61,3.85,Afternoon,Economy,180,643.18815174
74,19,Rural,Silver,72,4.71,Afternoon,Economy,180,661.320624
54,8,Suburban,Regular,59,4.68,Night,Premium,40,249.03277734
85,34,Urban,Silver,0,3.89,Morning,Premium,134,590.67286695
88,22,Urban,Regular,50,4.3,Evening,Premium,47,187.53863701
47,46,Urban,Silver,0,3.74,Morning,Premium,133,417.99282117
47,76,Suburban,Gold,19,4.78,Afternoon,Economy,110,354.51199966
75,22,Rural,Silver,100,3.9,Evening,Economy,123,391.21912211
100,1,Rural,Regular,54,3.87,Evening,Premium,180,648.22343537
86,18,Rural,Gold,0,4.95,Evening,Premium,37,153.71000473
39,13,Rural,Silver,45,4.48,Night,Premium,158,665.68410118
53,40,Suburban,Silver,100,3.5,Night,Premium,25,160.92933311
41,38,Suburban,Silver,35,4.1,Morning,Premium,121,445.81508167
95,38,Suburban,Silver,0,4.16,Night,Premium,122,369.87477476
70,25,Suburban,Regular,48,3.5,Afternoon,Premium,180,798.54022477
37,21,Urban,Gold,100,3.54,Evening,Premium,81,441.87849217
50,45,Urban,Gold,37,4.17,Evening,Premium,46,241.71949302
38,48,Rural,Gold,96,4.67,Afternoon,Premium,180,675.25687724
51,62,Rural,Gold,49,4.8,Evening,Economy,123,349.68371453
74,48,Urban,Silver,100,5.0,Afternoon,Premium,40,189.93151444
46,31,Suburban,Gold,45,4.36,Morning,Premium,145,457.00805888
63,10,Urban,Regular,44,4.12,Night,Economy,103,323.64168261
68,46,Urban,Silver,68,4.49,Night,Economy,63,208.90074138
15,27,Urban,Gold,32,4.4,Evening,Economy,126,375.33955637
20,33,Suburban,Regular,39,3.9,Morning,Premium,173,708.88989544
49,27,Suburban,Silver,46,4.4,Evening,Premium,85,279.99715284
39,1,Rural,Gold,100,4.33,Night,Premium,72,266.99089511
70,44,Suburban,Silver,0,5.0,Night,Premium,67,416.23989171
52,14,Suburban,Silver,15,4.08,Night,Premium,73,326.59318028
77,33,Rural,Silver,97,4.19,Morning,Premium,46,277.42916614
72,35,Suburban,Regular,52,3.7,Morning,Economy,124,400.86478387
81,19,Urban,Silver,18,3.51,Afternoon,Premium,141,459.27729834
48,44,Rural,Silver,65,4.15,Night,Premium,114,456.76961808
55,65,Urban,Regular,48,4.9,Night,Premium,107,395.70906138
100,23,Rural,Silver,33,4.11,Night,Economy,153,571.63173182
36,20,Rural,Regular,22,4.2,Night,Premium,53,236.14429677
76,27,Urban,Regular,39,4.6,Evening,Premium,115,538.52128395
84,38,Rural,Silver,0,4.71,Night,Economy,133,472.93022657
72,15,Rural,Silver,34,4.06,Night,Premium,95,412.48095623
82,17,Rural,Silver,80,4.39,Evening,Economy,127,504.32247206
60,26,Urban,Regular,69,4.13,Evening,Economy,179,658.54164095
72,14,Urban,Gold,37,3.77,Morning,Premium,71,276.18312502
66,15,Rural,Silver,10,3.71,Night,Economy,121,512.62907114
27,37,Suburban,Silver,34,4.57,Afternoon,Economy,91,418.32773325
55,13,Suburban,Silver,0,4.65,Night,Economy,180,580.21576779
24,32,Urban,Regular,62,3.58,Night,Premium,40,311.08591651
75,8,Suburban,Silver,65,4.44,Morning,Economy,60,142.58988764
66,30,Rural,Regular,72,4.8,Evening,Premium,144,552.62973034
83,12,Suburban,Gold,80,4.63,Night,Premium,115,434.14780344
33,25,Urban,Silver,73,3.95,Morning,Premium,71,332.50763743
63,53,Rural,Regular,51,4.37,Morning,Premium,49,212.01555003
64,12,Rural,Gold,35,4.33,Afternoon,Premium,100,427.16140331
100,10,Urban,Silver,33,3.92,Afternoon,Economy,133,404.97724875
56,32,Urban,Regular,47,4.85,Evening,Economy,36,25.993449448411635
47,21,Urban,Regular,71,4.49,Night,Premium,135,525.186263
61,83,Rural,Silver,21,5.0,Night,Premium,102,316.84072657
100,1,Suburban,Gold,57,3.88,Night,Premium,179,673.47813225
81,27,Suburban,Silver,19,4.32,Morning,Premium,141,497.78249867
76,76,Urban,Silver,63,4.74,Evening,Premium,78,280.46586656
55,33,Suburban,Regular,28,3.5,Night,Economy,180,618.87711145
55,33,Rural,Gold,100,4.38,Night,Premium,138,538.1630666
96,1,Suburban,Silver,40,3.5,Evening,Economy,180,628.22635309
50,20,Urban,Regular,55,3.5,Morning,Economy,47,25.993449448411635
49,29,Suburban,Silver,12,4.07,Evening,Premium,121,408.3581948
21,1,Suburban,Regular,64,4.67,Morning,Economy,77,314.90764022
23,45,Suburban,Regular,79,4.1,Evening,Premium,68,291.25678558
87,7,Suburban,Regular,25,3.85,Afternoon,Economy,98,403.48749781
12,51,Rural,Gold,47,4.4,Night,Premium,85,551.8251106
99,1,Suburban,Regular,21,4.52,Morning,Premium,120,500.8002771
54,39,Rural,Silver,44,4.47,Afternoon,Premium,126,525.27990363
69,45,Rural,Gold,76,3.53,Afternoon,Economy,105,403.24471512
86,6,Suburban,Silver,100,4.41,Afternoon,Premium,128,435.66191837
46,43,Urban,Regular,71,4.71,Night,Premium,153,629.59967757
75,24,Rural,Regular,13,4.29,Morning,Premium,30,138.71885439
36,6,Suburban,Gold,47,4.48,Afternoon,Premium,44,212.94303729
45,7,Urban,Regular,72,4.83,Evening,Economy,60,175.38459078
71,25,Urban,Gold,0,3.79,Night,Economy,54,249.83787792
70,30,Urban,Regular,59,4.2,Morning,Economy,127,413.90518499
69,40,Suburban,Regular,55,3.78,Afternoon,Economy,171,551.6411462
95,25,Suburban,Gold,100,4.12,Night,Economy,38,58.24267768
59,40,Urban,Silver,50,3.82,Afternoon,Premium,19,115.64970007
98,31,Rural,Silver,93,4.28,Afternoon,Economy,97,281.57124775
62,27,Rural,Regular,43,4.98,Morning,Economy,104,415.98135204
75,2,Rural,Silver,70,4.14,Night,Premium,10,55.73405353
78,8,Rural,Gold,60,4.32,Evening,Premium,180,695.40367488
48,29,Suburban,Silver,100,4.91,Night,Economy,80,289.76384788
65,38,Rural,Regular,91,3.94,Afternoon,Economy,161,655.71910711
26,51,Urban,Regular,37,4.09,Morning,Economy,100,359.42376875
63,38,Rural,Gold,5,4.24,Night,Premium,99,340.66800999
62,41,Rural,Gold,76,4.08,Night,Premium,105,395.96187654
73,46,Rural,Silver,100,4.84,Night,Premium,146,623.34210103
57,23,Urban,Silver,5,3.82,Afternoon,Economy,113,313.04950762
100,46,Urban,Gold,100,4.15,Afternoon,Economy,123,481.35002672
20,41,Suburban,Gold,26,4.77,Evening,Economy,78,305.16027163
33,42,Urban,Regular,90,4.32,Night,Premium,134,515.26550491
38,32,Rural,Regular,49,3.94,Evening,Premium,64,223.16913759
59,37,Suburban,Regular,87,4.05,Evening,Economy,141,503.95232141
42,31,Urban,Regular,63,4.44,Night,Premium,180,742.7935646
33,1,Urban,Regular,82,3.56,Morning,Premium,105,353.81356883
48,55,Rural,Silver,40,4.82,Evening,Economy,118,460.8240681
25,47,Rural,Silver,10,4.28,Night,Economy,38,206.87024752
69,31,Urban,Regular,82,4.48,Afternoon,Economy,179,663.75399492
68,42,Rural,Regular,83,4.13,Morning,Premium,66,307.67866923
30,17,Urban,Silver,39,4.21,Morning,Premium,167,688.26565988
81,14,Urban,Gold,63,4.36,Evening,Economy,54,173.62124509
29,20,Urban,Silver,34,4.44,Afternoon,Premium,162,572.47943463
48,24,Urban,Gold,9,4.97,Night,Economy,79,371.17861752
66,28,Rural,Gold,61,4.48,Morning,Economy,153,628.28662723
62,2,Suburban,Gold,69,4.45,Afternoon,Premium,105,407.97826391
23,1,Urban,Gold,39,4.17,Morning,Economy,47,159.32307372
71,3,Rural,Gold,88,4.6,Afternoon,Premium,165,738.61531959
59,12,Rural,Regular,27,4.1,Afternoon,Premium,119,377.21294464
100,51,Suburban,Regular,86,4.46,Evening,Economy,37,126.79753804
74,1,Rural,Gold,17,4.3,Morning,Premium,139,487.13458654
95,40,Urban,Regular,64,3.77,Morning,Economy,120,449.9340644
38,7,Rural,Regular,53,4.56,Evening,Premium,88,317.43239859
23,20,Urban,Silver,79,3.9,Night,Economy,91,418.39004213
92,31,Suburban,Regular,62,5.0,Morning,Premium,142,534.43740095
69,28,Urban,Silver,63,4.45,Afternoon,Economy,65,188.95785106
100,40,Suburban,Regular,50,4.48,Morning,Premium,74,254.01009306
87,1,Rural,Regular,67,3.53,Evening,Premium,104,396.70444541
86,66,Rural,Silver,14,5.0,Evening,Economy,44,61.88711662
71,44,Urban,Silver,0,3.79,Afternoon,Economy,110,428.57733175
40,14,Rural,Gold,100,3.5,Evening,Economy,42,233.41185236
36,41,Suburban,Gold,1,4.33,Afternoon,Economy,128,377.83954124
12,52,Rural,Silver,100,3.5,Morning,Premium,63,296.39093226
48,89,Urban,Silver,29,4.31,Evening,Premium,85,343.82134546
60,44,Urban,Gold,94,4.13,Morning,Economy,163,530.07130171
58,24,Urban,Regular,92,3.5,Morning,Premium,92,295.44317548
61,23,Suburban,Silver,47,4.1,Evening,Economy,36,142.89582456
10,5,Rural,Regular,47,4.34,Night,Premium,123,445.17291247
65,49,Suburban,Gold,30,4.8,Morning,Premium,69,221.42595446
97,37,Suburban,Silver,51,3.9,Morning,Economy,122,490.53408638
42,39,Rural,Regular,60,4.74,Morning,Premium,109,441.58546666
26,34,Rural,Silver,100,4.67,Evening,Premium,128,540.70192224
23,1,Rural,Gold,0,4.09,Afternoon,Economy,139,588.81890312
45,9,Rural,Gold,46,3.95,Night,Premium,55,256.02910066
51,1,Urban,Regular,72,3.79,Evening,Premium,101,382.52052324
65,36,Suburban,Gold,12,4.33,Night,Economy,180,605.30554699
79,14,Suburban,Silver,85,4.0,Morning,Premium,71,327.64412744
37,26,Rural,Gold,88,4.16,Evening,Premium,77,366.57876969
48,23,Suburban,Gold,75,4.45,Evening,Economy,63,299.53365572
21,63,Suburban,Gold,38,4.64,Morning,Economy,120,320.11174682
74,17,Rural,Regular,76,4.32,Evening,Premium,86,376.11733348
51,19,Suburban,Silver,46,3.88,Afternoon,Economy,45,194.66289697
55,8,Rural,Silver,39,3.87,Night,Premium,118,593.72751633
91,7,Urban,Silver,74,3.72,Morning,Premium,87,371.6923753
63,20,Urban,Gold,36,4.81,Morning,Premium,92,301.5592953
100,18,Rural,Regular,78,4.21,Evening,Economy,114,381.46253611
78,32,Suburban,Regular,77,4.7,Afternoon,Premium,136,551.33269269
50,1,Urban,Silver,83,4.9,Night,Economy,139,443.06271999
34,4,Suburban,Regular,29,3.71,Night,Premium,61,146.52917195
56,32,Rural,Regular,68,5.0,Afternoon,Economy,138,533.69013409
84,3,Suburban,Regular,42,4.66,Evening,Economy,174,459.50671627
27,25,Urban,Regular,100,4.61,Afternoon,Premium,55,199.65604886
